sk_Vitima,Id_vitima,Relacaovitimasuspeito,Sexodavitima,Orientacaosexualdavitima,Faixaetariadavitima,Deficienciadavitima,Doencararadavitima,UFdavitima,Profissaodavitima,Graudeinstrucaodavitima,RacaCordavitima,Etniadavitima,Faixaderendadavitima,Pais_da_Vitima
6f5d0c9d-d7a8-4c2b-b827-20027d28dbaa,9079fd54-3a08-42f6-b50c-d69ae17ef958,PAI/MÃE,FEMININO,NÃO INFORMADO,0 a 9 ANOS,NÃO TEM DEFICIÊNCIA,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,PARDA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
c1e25ef4-1324-4b0f-9632-d44f733a6a1b,80e0b1ac-f6ad-49db-9f8c-55cec5c39eff,PAI/MÃE,FEMININO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,BRASIL
25df32ea-7b2d-46ec-a7fe-a242b19198b2,b1578758-0f14-4995-b265-e21ed89e6b97,CUNHADO(A),FEMININO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,FUNDAMENTAL INCOMPLETO,PARDA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
e76519fe-b782-4703-8412-88fe954fecc6,2cb5bab5-6c6c-4937-94a2-e11f488e0340,PAI/MÃE,MASCULINO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,PARDO,NÃO INFORMADO,BRASIL
c6c9e5e7-0faf-4ac6-94e8-c78429a7fccb,cd595f8d-adf3-4bfa-9d65-9911632b12fe,PAI/MÃE,FEMININO,NÃO INFORMADO,0 a 9 ANOS,NÃO TEM DEFICIÊNCIA,NÃO POSSUI DOENÇA RARA,AC,ESTUDANTE,FUNDAMENTAL INCOMPLETO,PARDA,PARDO,NÃO INFORMADO,BRASIL
9cff6528-80e0-4d64-9d82-81bef3cd247c,9f6f90be-3b24-4e71-a1b8-ff2af4c4929b,AVÔ(Ó),FEMININO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,PARDA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
5f3b2599-6691-4428-b8e5-b6d480379cab,0678f452-3f33-413e-936b-d4a68667fbc6,PAI/MÃE,MASCULINO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,BRASIL
1ad2a042-2f46-4cdf-83fc-194553d68f0b,2cfb7ec7-00b9-40e8-a260-85140ace8424,PRESTADOR(A) DE SERVIÇO,MASCULINO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,FUNDAMENTAL INCOMPLETO,PRETA,NÃO INFORMADO,ATÉ 1 SALÁRIO MÍNIMO,BRASIL
6fade007-1e6c-422f-a287-e8cf74ae362d,c04f9155-7f58-459d-a736-31468aa92714,PAI/MÃE,FEMININO,NÃO INFORMADO,0 a 9 ANOS,NÃO TEM DEFICIÊNCIA,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,PRETA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
bd173878-730a-4db0-9fca-5d4a1666eac2,b3225c94-e00e-4a66-b0dd-eca10287fafc,PAI/MÃE,MASCULINO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
06117f5a-fd78-4d3b-9f3d-2be4dbe1020e,dc0e32f3-c068-4c9c-b2ad-74e9a5e989fc,IRMÃO(Ã),MASCULINO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,FUNDAMENTAL INCOMPLETO,BRANCA,NÃO INFORMADO,MAIS DE 1 A 2 SALÁRIOS MÍNIMOS,BRASIL
44adae01-2746-4900-ba0e-8871fc04e60c,06af7eb0-c1fb-4649-8f74-b462c3fc1f0e,PAI/MÃE,MASCULINO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,BRASIL
e8748ce3-9165-4fc5-97c8-901563727c42,521f93f8-09ed-4825-b845-111764abea69,PAI/MÃE,MASCULINO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,ANALFABETO(A),PARDA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
71315802-396b-4bcb-b707-80d88702c6c8,04ab8820-f3a3-4beb-b62a-74470c3f17dd,NÃO INFORMADO,MASCULINO,NÃO INFORMADO,0 a 9 ANOS,MENTAL/INTELECTUAL,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,FUNDAMENTAL INCOMPLETO,PARDA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
28aac7dd-abf4-402d-b077-cca04fabd324,8683a1ac-16c0-4166-99ec-bde9057257b6,PAI/MÃE,FEMININO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,PARDA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
6bbe0245-e2bf-4467-a08f-0d0887b10d88,05e1912a-30c2-4b9d-8ba4-c310a6e1ce0b,PAI/MÃE,MASCULINO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,PARDA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
fc617814-6121-45a6-8365-f22afce06bc0,c6ab59b9-79ed-4e6e-a87a-d97106b68b95,PAI/MÃE,MASCULINO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,PARDA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
1920291d-09bc-42a5-ac9f-c1b8d3b85c29,4c626bba-3074-4011-8f38-63877a0349e9,AVÔ(Ó),MASCULINO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,OUTROS NÃO LISTADOS,FUNDAMENTAL INCOMPLETO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
2370181f-fdeb-4656-b98d-45edea3d2cfd,8e51054b-7130-4345-95db-8961acc152d2,PAI/MÃE,MASCULINO,NÃO INFORMADO,0 a 9 ANOS,NÃO TEM DEFICIÊNCIA,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,PRETA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
696c4cc9-d645-47f4-92e2-e3dc05446597,bd7d085c-5acb-4c21-aa1d-1a94ed81564a,PAI/MÃE,FEMININO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
dcd6bc87-4f23-4a32-b146-3f48f3e9d226,88fd6b64-fccf-444b-840c-c7a0c7af3afd,PROFESSOR(A),MASCULINO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
86fbaf1d-4451-408d-8a9f-33b1a2a27bdd,093cc38d-afe7-4899-b5a2-76fff223b5c8,PADRASTO/MADRASTA,MASCULINO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,FUNDAMENTAL INCOMPLETO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
0ae9dc55-1d8e-4d57-be3e-c9995bee8992,9dfa09ea-e3ec-494e-a1d1-30513d726142,PAI/MÃE,MASCULINO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,ANALFABETO(A),PARDA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
32e680f7-f500-4b0c-9bc6-64586832934c,32368c9c-337a-4436-969d-6c174a0028fc,PAI/MÃE,FEMININO,NÃO INFORMADO,10 a 19 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,FUNDAMENTAL COMPLETO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
84dbfa27-3d5b-4585-bc20-337ac024b56e,43b888e7-81ef-461b-94b3-ef81735144da,PRIMO(A),FEMININO,NÃO INFORMADO,10 a 19 ANOS,NÃO TEM DEFICIÊNCIA,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,FUNDAMENTAL INCOMPLETO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
c336da63-28da-4e11-91af-a519f8a90639,0dda01fa-a3dd-4e36-8b10-9bc5f4183c63,PRESTADOR(A) DE SERVIÇO,MASCULINO,NÃO INFORMADO,10 a 19 ANOS,NÃO TEM DEFICIÊNCIA,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,PRETA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
60a1c513-52ea-4247-ab27-67382cc31bf6,d03b3513-045b-4a9b-ac1c-d2b482a94be7,PADRINHO/MADRINHA,MASCULINO,NÃO INFORMADO,10 a 19 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
5dcbe7c1-dab4-48df-a25b-96ac1a930d1e,51f68382-6df6-4f9c-a34f-70d75dec0236,OUTROS,FEMININO,NÃO INFORMADO,10 a 19 ANOS,NÃO TEM DEFICIÊNCIA,"POSSUI DOENÇA RARA, MAS NÃO SABE QUAL",AC,NÃO INFORMADO,ENSINO MÉDIO INCOMPLETO,PRETA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
5d7fed4f-7096-42d9-a8bb-2a85851e693c,1ef8e556-d407-4d65-a89d-f18c6f71de31,PAI/MÃE,FEMININO,NÃO INFORMADO,10 a 19 ANOS,NÃO TEM DEFICIÊNCIA,NÃO POSSUI DOENÇA RARA,AC,ESTUDANTE,ENSINO MÉDIO INCOMPLETO,BRANCA,NÃO INFORMADO,SEM RENDIMENTO,BRASIL
58fe648a-4e25-4166-b2d5-fd274ad0d4bf,468adef7-2691-44d5-88bb-7df76ee0a612,CUNHADO(A),FEMININO,NÃO INFORMADO,10 a 19 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
1005d735-a8d2-43cb-8e79-8b68cb88091b,73514993-b665-4871-955d-23daf3fc8172,PAI/MÃE,FEMININO,NÃO INFORMADO,10 a 19 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,BRASIL
eb4eea26-3229-410a-985d-f0f10203940a,def5d939-a820-4e9a-b3f4-eb0f0679c2f6,PAI/MÃE,FEMININO,NÃO INFORMADO,10 a 19 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,PRETA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
2f3bbc61-4c0b-4e80-8dc6-f036202ffe75,7d013e2f-0f8b-4033-93ca-c671baf98003,TIO(A),MASCULINO,NÃO INFORMADO,10 a 19 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,ENSINO MÉDIO INCOMPLETO,INDÍGENA,INDÍGENA,NÃO INFORMADO,BRASIL
4d863eda-2b89-4bbe-ae18-0a69ba0748d2,c1598d98-cefc-49f6-adce-9b01343d7541,PAI/MÃE,MASCULINO,NÃO INFORMADO,10 a 19 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,BRANCA,NÃO INFORMADO,ATÉ 1 SALÁRIO MÍNIMO,BRASIL
3f032e21-fb5c-48e3-9215-a2c0f9885729,1d26bef7-658b-4cb9-bd17-2f26efb922df,AVÔ(Ó),MASCULINO,NÃO INFORMADO,10 a 19 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,BRASIL
3ddcd525-cdd3-41e9-9374-f7ac229e0e87,13703675-b816-4a30-ad61-3ebc1c000be9,PAI/MÃE,MASCULINO,NÃO INFORMADO,10 a 19 ANOS,NÃO TEM DEFICIÊNCIA,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,FUNDAMENTAL INCOMPLETO,PARDA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
7133de0a-e40f-4d1b-8b78-5d69396420aa,49df137a-1e22-4ac0-8b48-ea8629a9bbbe,PAI/MÃE,MASCULINO,NÃO INFORMADO,10 a 19 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,ESTUDANTE,FUNDAMENTAL INCOMPLETO,PARDA,NÃO INFORMADO,MAIS DE 1 A 2 SALÁRIOS MÍNIMOS,BRASIL
96630510-0dc1-497e-8c7d-f6d34518cec2,10f8bc70-8a0e-493d-976c-dc84aef9449a,PAI/MÃE,FEMININO,NÃO INFORMADO,10 a 19 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,INDÍGENA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
7a292e16-7742-4992-9616-4fc26294dbfc,9a7350ee-f2d3-432d-be1b-90e65647c30e,MORA NA MESMA RESIDÊNCIA MAS NÃO É FAMILIAR,FEMININO,NÃO INFORMADO,10 a 19 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,PARDA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
c758a3ad-65ec-46a8-9841-3b46a7eab480,10e5f3eb-e7e2-43c7-a584-9673306192c4,FAMILIARES,FEMININO,NÃO INFORMADO,10 a 19 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,PARDA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
53ab00e9-330e-4ce5-9298-20c89ac53a92,d01b48dc-6ee0-43f5-a0ab-330a53732f42,PADRASTO/MADRASTA,MASCULINO,NÃO INFORMADO,10 a 19 ANOS,NÃO TEM DEFICIÊNCIA,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,FUNDAMENTAL INCOMPLETO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
d2262a15-fb39-4d2e-aa49-64fdc242c850,24e5aea5-353a-407e-a3cf-dd43b4f8dd34,PAI/MÃE,FEMININO,NÃO INFORMADO,10 a 19 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,FUNDAMENTAL INCOMPLETO,PARDA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
99bb82df-82a4-4a78-b31e-6418744fbd29,2791015d-3c15-4a2c-a4fd-8c1fbe2f3a19,PAI/MÃE,FEMININO,NÃO INFORMADO,10 a 19 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,PRETA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
918a0733-bddd-49d7-821f-25f877c2633b,b689dd37-508b-4c94-9804-355a7a469e95,OUTROS,FEMININO,NÃO INFORMADO,10 a 19 ANOS,MENTAL/INTELECTUAL,NÃO POSSUI DOENÇA RARA,AC,ESTUDANTE,FUNDAMENTAL INCOMPLETO,BRANCA,NÃO INFORMADO,MAIS DE 1 A 2 SALÁRIOS MÍNIMOS,BRASIL
db591b86-0319-4902-a534-e3750a7e2ff4,009b49c9-edfd-4e08-b62e-16172ec266c1,TIO(A),FEMININO,NÃO INFORMADO,10 a 19 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,FUNDAMENTAL INCOMPLETO,PARDA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
a8cc00e4-6d67-4fe0-a45e-6075347bb3a2,14a42dd3-4fbf-449f-b557-a844168edb29,AMIGO(A),FEMININO,NÃO INFORMADO,10 a 19 ANOS,NÃO TEM DEFICIÊNCIA,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,PARDA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
cb5821b9-1140-459c-b4b8-0d84ed76de75,ae94130c-1c1c-4420-b24c-da83c893246e,PAI/MÃE,MASCULINO,NÃO INFORMADO,10 a 19 ANOS,NÃO TEM DEFICIÊNCIA,NÃO POSSUI DOENÇA RARA,AC,ESTUDANTE,FUNDAMENTAL INCOMPLETO,PARDA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
d44d1371-5823-4518-85a3-81e306fb8c7e,34dedf7b-cfe4-4468-afff-225e66fe3eb1,DESCONHECIDO(A),FEMININO,NÃO INFORMADO,10 a 19 ANOS,NÃO TEM DEFICIÊNCIA,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
