sk_Suspeito,Id_suspeito,NaturezaJuridicadoSuspeito,Sexodosuspeito,Orientacaosexualdosuspeito,Faixaetariadosuspeito,Deficienciadosuspeito,Doencararadosuspeito,Suspeitopreso,Pais_do_suspeito,UFdosuspeito,Profissaodosuspeito,Graudeinstrucaodosuspeito,RacaCordosuspeito,SuspeitoEtnia,Faixaderendadosuspeito,VinculoOrgaoPJdosuspeito,sl_suspeito_ramo
3e2e9fcb-7a76-4cf3-8f45-abcc6012405b,7f1965d7-277b-4e53-8c8b-141f2319c69d,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,10 a 19 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO INFORMADO,BRASIL,AC,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
778021bd-df95-4cef-9cf0-90be8e19d077,5bd5a695-ef17-4418-b036-a1e06d858b33,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,10 a 19 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,NÃO INFORMADO,FUNDAMENTAL INCOMPLETO,PRETA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
6382638c-ccf6-47c5-9739-a593e4652094,9e3fdd84-8f74-4a04-8ce0-5c8127699e26,PESSOA FÍSICA,FEMININO,NÃO INFORMADO,20 a 29 ANOS,NÃO TEM DEFICIÊNCIA,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
86c9b295-d964-42c8-b1a9-10d137430821,fa30bc1e-bee2-48f6-834c-f8e7fa431f94,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,NÃO SABE INFORMAR,NÃO INFORMADO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
235c43ae-7e8c-4303-bf45-ea438116fcfb,bab421c8-4963-42d4-80e8-07a4e4a04135,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,20 a 29 ANOS,NÃO TEM DEFICIÊNCIA,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,OUTROS NÃO LISTADOS,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
67412e8b-1115-4faa-8915-5c23858ae1d2,8fca8d17-d414-485c-ad91-75c706867d6b,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO INFORMADO,BRASIL,AC,OUTROS NÃO LISTADOS,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
b29f165f-3e45-408a-aa63-418b8efdd417,21e54ba1-eb52-4735-8d77-7e1821fa6f91,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO INFORMADO,BRASIL,AC,NÃO INFORMADO,NÃO INFORMADO,PARDA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
3d0c8491-2f51-4d29-a524-dfd8f0f57b49,a698b578-8b7e-4362-8383-0d805d9abb0d,PESSOA FÍSICA,FEMININO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,OUTROS NÃO LISTADOS,NÃO INFORMADO,PARDA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
6adf1363-1fa7-4733-90ab-810027533759,2d32e0ce-9734-4eb7-8bbd-0d31f09e7fe0,PESSOA FÍSICA,FEMININO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO INFORMADO,BRASIL,AC,NÃO INFORMADO,NÃO INFORMADO,PARDA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
d8f6d2bd-5c02-48fd-bdfb-f6f7a5d4c0ba,209cde2a-f212-4ba6-9648-6aa15fa84863,PESSOA FÍSICA,FEMININO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO INFORMADO,BRASIL,AC,MÉDICO PSIQUIATRA,PÓS-GRADUAÇÃO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
a3c817ab-85c2-4e78-97d1-5d719fbd34b0,dd8ebc7a-57d4-4ddb-829d-604b86574f76,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,NÃO SABE INFORMAR,NÃO INFORMADO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
41b6a5cb-ba81-4fde-b860-9f8ae6fe971e,e5bb50b6-80d8-4d6e-8ced-bd77c3071712,PESSOA FÍSICA,FEMININO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,VENDEDOR AMBULANTE,NÃO INFORMADO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
36cbb8e8-b6ca-4b91-9885-5ed958e60a14,0f8e48a0-cee5-47f2-a421-ae4e943821ce,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO INFORMADO,BRASIL,AC,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,PARDA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
4f9744ef-1f63-4f5e-b983-1213915e661d,5da11ad4-ac0d-4237-b9f8-36e9b2f7081a,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO INFORMADO,BRASIL,AC,NÃO INFORMADO,FUNDAMENTAL INCOMPLETO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
b665ad60-d6dd-4ce1-b6d2-671ca5dd936e,b9364c56-6487-45a4-bce0-7902dca459e7,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO INFORMADO,BRASIL,AC,NÃO INFORMADO,NÃO INFORMADO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
2a2a126b-10f8-4749-9248-2219067b2ee2,2b84fe0a-ba9b-4c41-97d2-aeac2235a4c6,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,NÃO INFORMADO,NÃO INFORMADO,PARDA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
d5fe4f35-02fd-4efc-86f0-38e699dcdb93,3d3976dc-186f-4ce9-843d-ef1d50bbbd31,PESSOA FÍSICA,FEMININO,NÃO INFORMADO,20 a 29 ANOS,NÃO TEM DEFICIÊNCIA,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,DOMÉSTICO/FAXINEIRO,NÃO INFORMADO,PARDA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
310c530e-998f-463f-bd7a-65337b08caaa,eaa7f10a-7e08-4282-9552-fbf6f208c4b2,PESSOA FÍSICA,FEMININO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,OUTROS NÃO LISTADOS,NÃO INFORMADO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
2e56db78-a3c5-4f31-a699-3b931de1d51a,e28bc0e0-b2cc-4e89-82a7-e87755c1fffb,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO INFORMADO,BRASIL,AC,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
83ddfd00-fe1e-41c4-b6f1-e956ddc35942,45a2aa13-b5bb-4089-a15e-6cd6c85a9135,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,NÃO INFORMADO,FUNDAMENTAL INCOMPLETO,PRETA,NÃO INFORMADO,ATÉ 1 SALÁRIO MÍNIMO,NÃO INFORMADO,NÃO INFORMADO
036c05c0-8c95-4cba-9a97-fbb187ee09b5,31fa7c8a-4750-4e74-a9b4-37d43a916364,NÃO INFORMADO,FEMININO,HETEROSSEXUAL,20 a 29 ANOS,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,AC,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
4503c916-38c4-4a85-a8a9-98f6a5b8a439,8ea00932-e8ca-4193-ab7f-5b086d7054d3,PESSOA FÍSICA,FEMININO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,NÃO SABE INFORMAR,NÃO INFORMADO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
9c8facf5-70b3-48b0-8812-7928643287cb,1739b923-548f-4f37-a288-8c4695b71d1a,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,NÃO SABE INFORMAR,NÃO INFORMADO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
6cb4210c-03c2-444e-888e-e6c6470ee3f1,8e606a83-0da7-43d7-b2c6-1295a5de59ef,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO INFORMADO,BRASIL,AC,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
edad5155-5382-4277-969d-bf0e97ed515a,9bfca039-dc7f-4d31-80e6-6061696716f3,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,NÃO INFORMADO,NÃO INFORMADO,PARDA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
bdb92f37-ea60-45c4-be4e-8e24de24e353,75a12b9a-98a5-4cd7-902a-fab775e1f061,PESSOA FÍSICA,FEMININO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO INFORMADO,BRASIL,AC,NÃO SABE INFORMAR,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
ae153a67-62f2-41ad-833f-e388183c9dbd,a9f13104-3bcc-405d-88db-6d9c60153933,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO INFORMADO,BRASIL,AC,OUTROS NÃO LISTADOS,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
3b0f4b37-5a5e-472d-8ce0-c0bfb7539c4b,926e22da-16c6-49d9-a5dd-c31edb3115b4,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,NÃO INFORMADO,SUPERIOR INCOMPLETO,AMARELA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
3afbd79b-eb6d-44c4-ba57-4e0e627fb3f4,b8e42016-a970-4edb-8a93-1ac68cfc22a6,PESSOA FÍSICA,FEMININO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,NÃO INFORMADO,NÃO INFORMADO,PARDA,NÃO INFORMADO,MAIS DE 2 A 5 SALÁRIOS MÍNIMOS,NÃO INFORMADO,NÃO INFORMADO
f5746109-a012-498e-8a25-80e52d157800,6467653d-180a-4994-a47c-7199082f1ebc,PESSOA FÍSICA,FEMININO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,TEMPORÁRIA,BRASIL,AC,NÃO SABE INFORMAR,NÃO INFORMADO,PARDA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
6452d0f6-c80f-4fa1-8a09-a8712dca8519,8bd21709-9a6a-4e64-a7d9-42af7fb20c40,PESSOA FÍSICA,FEMININO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,PRETA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
e20d8871-c08e-4570-81d6-2056212b96e9,7177baa8-ff3c-46dc-b13e-972dd9bee919,PESSOA FÍSICA,FEMININO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,PRETA,NÃO INFORMADO,ATÉ 1 SALÁRIO MÍNIMO,NÃO INFORMADO,NÃO INFORMADO
767006e4-795a-4dad-801e-ab6b6326a426,5a6d0570-ec4b-45f3-8e91-df783f9d8bc3,PESSOA FÍSICA,FEMININO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,NÃO INFORMADO,ANALFABETO(A),BRANCA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
6e4ec4a3-bd69-407e-bb17-ac7a136d2fa3,81fab68e-c805-4337-9bf3-7e42c1afe8b4,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO INFORMADO,BRASIL,AC,NÃO INFORMADO,NÃO INFORMADO,PRETA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
e0349e50-956f-458d-992c-28d638fa8fe4,0f2b9413-681d-4093-9a6b-1f95f64c8cfd,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO INFORMADO,BRASIL,AC,NÃO INFORMADO,FUNDAMENTAL INCOMPLETO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
8c187957-5c4b-4e35-9e57-8b006c7dd935,19dc888c-023e-4f9b-b963-ef24f8e08b33,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,CONTADOR,PÓS-GRADUAÇÃO,BRANCA,NÃO INFORMADO,MAIS DE 5 A 15 SALÁRIOS MÍNIMOS,NÃO INFORMADO,NÃO INFORMADO
3bbc0679-ad73-4f4f-aff3-a5f9a0502325,4b7da55b-6e0d-4afe-a0e8-cce7d7a6772c,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,20 a 29 ANOS,NÃO TEM DEFICIÊNCIA,NÃO POSSUI DOENÇA RARA,NÃO INFORMADO,BRASIL,AC,NÃO INFORMADO,FUNDAMENTAL INCOMPLETO,PARDA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
77dbd7b8-875d-4c5a-9f8e-3bc8062e4370,880eae86-782a-499d-b820-94d503202b45,PESSOA FÍSICA,FEMININO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,NÃO SABE INFORMAR,NÃO INFORMADO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
f7def114-8f99-47d1-b8b9-99861464fa07,01a8cf06-08d7-4878-9395-915b7c7bcee9,PESSOA FÍSICA,FEMININO,NÃO INFORMADO,20 a 29 ANOS,NÃO TEM DEFICIÊNCIA,NÃO POSSUI DOENÇA RARA,NÃO INFORMADO,BRASIL,AC,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
576b83da-66df-48e7-86cd-866a8735556c,c058b5ae-9ccc-4376-bece-cb7c905770ca,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,OUTROS NÃO LISTADOS,NÃO INFORMADO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
63f3b1dd-3a4a-483f-873a-aeae53a1df65,2cb21425-85ec-4f63-9550-274c235f9897,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,CONTADOR,PÓS-GRADUAÇÃO,BRANCA,NÃO INFORMADO,MAIS DE 5 A 15 SALÁRIOS MÍNIMOS,NÃO INFORMADO,NÃO INFORMADO
eb8bdc6f-22aa-42cf-9b52-2141b10c353b,004ce3d7-0c64-4810-a1f0-f5aad8e92e6c,PESSOA FÍSICA,FEMININO,NÃO INFORMADO,20 a 29 ANOS,NÃO TEM DEFICIÊNCIA,NÃO POSSUI DOENÇA RARA,FLAGRANTE,BRASIL,AC,NÃO SABE INFORMAR,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
2366fd56-f667-410a-988c-313f652131c6,396d6dd0-f41c-4091-96ae-3bb55409acd8,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,20 a 29 ANOS,NÃO TEM DEFICIÊNCIA,NÃO POSSUI DOENÇA RARA,NÃO INFORMADO,BRASIL,AC,NÃO SABE INFORMAR,NÃO INFORMADO,PARDA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
fb3c690b-def8-4a47-ba9c-4d854618142e,06290131-1602-402d-a1b7-6ca08cd59d27,PESSOA FÍSICA,FEMININO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,NÃO INFORMADO,NÃO INFORMADO,PRETA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
3f07ce49-0d7c-4e01-a025-81f29bf8b2b9,a17e0c98-4ce3-4ff0-9b6e-10b6259f8d7b,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO INFORMADO,BRASIL,AC,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
a4d7978e-6f4b-4115-b6b0-536a5d57c29c,71bf0159-628c-41d6-b8b6-813436b9771c,PESSOA FÍSICA,FEMININO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
4e61aa93-b76b-4a5c-b4c8-28acf3162f7a,973d3b73-a267-493c-a7c6-f6b6be67c02d,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO INFORMADO,BRASIL,AC,CONTADOR,SUPERIOR COMPLETO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
f37d6de9-1479-4df2-9276-8d4da4d99df9,752a686e-b59b-4ab7-a5f5-98a290224f33,PESSOA FÍSICA,FEMININO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,NÃO SABE INFORMAR,NÃO INFORMADO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
39a12004-f59b-4462-a882-324b70e94703,bfecd840-54da-47d1-9464-0a89eec7b88f,PESSOA FÍSICA,FEMININO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,NÃO SABE INFORMAR,NÃO INFORMADO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
cf967b4c-daff-4097-a01e-a54ecb4a02cd,f3c1eb37-9fb7-4ea1-ba13-862e25806e83,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
92f9a3ff-6d2b-434a-93ce-e08a107297fd,72dc88c9-9f33-41a3-a90b-2a4f00325ff6,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,20 a 29 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO INFORMADO,BRASIL,AC,NÃO INFORMADO,NÃO INFORMADO,PARDA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
