Canaldeatendimento,Cenariodaviolacao,Denunciaemergencial,Denunciante,Pais,UF,Frequencia,Iniciodasviolacoes,sl_quantidade_vitimas,Motivacao,sk_Vitima,sk_Datadecadastro,sk_GrupoVulnerario,sk_Suspeito,sk_tipoViolacao
TELEFÔNICO,CASA DA VÍTIMA,NÃO,A PRÓPRIA VÍTIMA,BRASIL,MG,NÃO INFORMADO,HÁ UM MÊS,1.0,POR CONDUTAS EXCESSIVAS/ DESNECESSÁRIAS/ DESACONSELHADAS,1acc6f11-305d-4bf6-a318-17b21dc43ed3,00606495-5a2e-4391-a29e-a68885516105,e4d3855f-dbd7-414d-9031-8dd3e7a112e1,515eff22-d137-491c-b0c4-6e8cb0960bcb,7e1b0b67-4a94-4ae5-986d-cdbdd4587248
TELEFÔNICO,CASA DA VÍTIMA E DO AGRESSOR,NÃO,ANÔNIMO,BRASIL,GO,DIARIAMENTE,HÁ UM MÊS,1.0,POR CONDUTAS EXCESSIVAS/ DESNECESSÁRIAS/ DESACONSELHADAS,c90804c1-2207-4761-a6e9-9d693ee8db0a,00606495-5a2e-4391-a29e-a68885516105,4f451b2b-7f74-4b04-832f-c7b3a352f83e,b1ee7966-058e-4d33-a5dc-12174ded95f9,1a3b1c59-a661-4ee4-9750-3aceb6414ff0
TELEFÔNICO,CASA DA VÍTIMA E DO AGRESSOR,NÃO,ANÔNIMO,BRASIL,BA,DIARIAMENTE,HÁ UM MÊS,1.0,DA COABITAÇÃO/ CONVIVÊNCIA FAMILIAR/ RELAÇÃO AFETIVA,b4a5e670-7d25-45dc-968b-e388cd3dc7ad,00606495-5a2e-4391-a29e-a68885516105,4f451b2b-7f74-4b04-832f-c7b3a352f83e,c80e946c-3f4b-45ae-a675-c7f4321fc27d,151c0791-2fac-4004-adca-62584213a14f
WEBCHAT,CASA DA VÍTIMA E DO AGRESSOR,NÃO,ANÔNIMO,BRASIL,RJ,DIARIAMENTE,HÁ UM MÊS,3.0,NÃO INFORMADO,7ac7f446-18d9-40ba-a8a8-246973c14a6a,00606495-5a2e-4391-a29e-a68885516105,e4d3855f-dbd7-414d-9031-8dd3e7a112e1,2204d4b0-c1a2-47af-8eb0-e2d3b7661bdb,a7e9d029-1389-4a56-9194-d0672daa8ae0
WHATSAPP,UNIDADE PRISIONAL,NÃO,ANÔNIMO,BRASIL,RN,DIARIAMENTE,HÁ UM MÊS,1.0,NÃO INFORMADO,6c18e285-e7fb-41c9-a64a-e30a1d25c7dc,00606495-5a2e-4391-a29e-a68885516105,b708eb62-6f5c-432f-aec1-bd87f910847b,84430680-db2c-4db1-b1d1-12857a9bdc8f,1a3b1c59-a661-4ee4-9750-3aceb6414ff0
TELEFÔNICO,OUTROS,NÃO,ANÔNIMO,BRASIL,RN,DIARIAMENTE,HÁ UM MÊS,1.0,EM RAZÃO DE CONFLITO DE IDEIAS,24925346-7976-428d-93f0-7862e29b82f8,00606495-5a2e-4391-a29e-a68885516105,55fc9909-0327-4a74-9096-3382459407ce,ce783058-1d21-4f0f-ad56-107c4f2a999f,e08c2d6a-954d-4b69-92e9-d3070aea6290
TELEFÔNICO,LOCAL DE TRABALHO DA VÍTIMA,NÃO,ANÔNIMO,BRASIL,SP,DIARIAMENTE,HÁ UM MÊS,1.0,PARA OBTENÇÃO DE BENEFÍCIO FINANCEIRO/ GANÂNCIA,b54c05be-5784-436e-90b4-a4ac1e0ef517,00606495-5a2e-4391-a29e-a68885516105,55fc9909-0327-4a74-9096-3382459407ce,53788688-0605-48c8-8578-87c09f463f20,1a3b1c59-a661-4ee4-9750-3aceb6414ff0
TELEFÔNICO,CASA DA VÍTIMA,NÃO,ANÔNIMO,BRASIL,RN,DIARIAMENTE,HÁ UM MÊS,1.0,DA COABITAÇÃO/ CONVIVÊNCIA FAMILIAR/ RELAÇÃO AFETIVA,880f52f3-4d50-45ef-926b-c1745878a416,00606495-5a2e-4391-a29e-a68885516105,4f451b2b-7f74-4b04-832f-c7b3a352f83e,bd09692d-9d47-4492-b784-5274ba652c12,69c08830-0bcc-4bc2-8b77-568d9171c001
TELEFÔNICO,VIA PÚBLICA,NÃO,TERCEIRO,BRASIL,SC,DIARIAMENTE,HÁ UM MÊS,1.0,DA COABITAÇÃO/ CONVIVÊNCIA FAMILIAR/ RELAÇÃO AFETIVA,a0b265de-d40c-4657-bc61-51dbb556db0a,00917cbf-66b1-499c-88d1-bd4469f3ec08,4f451b2b-7f74-4b04-832f-c7b3a352f83e,88169d4c-65c8-4c85-962e-fe35923f64b2,1a3b1c59-a661-4ee4-9750-3aceb6414ff0
TELEFÔNICO,CASA DA VÍTIMA E DO AGRESSOR,NÃO,TERCEIRO,BRASIL,MS,DIARIAMENTE,HÁ UM MÊS,1.0,"EM RAZÃO DE CONDIÇÕES FÍSICAS, SENSORIAIS, INTELECTUAIS OU MENTAIS",dc8a51ad-6dab-4e3c-81ea-2097f81e56e9,00917cbf-66b1-499c-88d1-bd4469f3ec08,4f451b2b-7f74-4b04-832f-c7b3a352f83e,6a5c17dc-3eb0-417d-bd7b-63612a695649,1a3b1c59-a661-4ee4-9750-3aceb6414ff0
TELEFÔNICO,CASA DA VÍTIMA,NÃO,TERCEIRO,BRASIL,CE,DIARIAMENTE,HÁ UM MÊS,1.0,EM RAZÃO DA IDADE,d5128766-b6ac-4470-a5a9-8bbb2610066e,00917cbf-66b1-499c-88d1-bd4469f3ec08,e4d3855f-dbd7-414d-9031-8dd3e7a112e1,238f160d-448a-4973-b584-0d63593deb26,7e1b0b67-4a94-4ae5-986d-cdbdd4587248
TELEFÔNICO,CASA DA VÍTIMA E DO AGRESSOR,NÃO,TERCEIRO,BRASIL,CE,OCASIONALMENTE,HÁ UM MÊS,1.0,POR CONDUTAS EXCESSIVAS/ DESNECESSÁRIAS/ DESACONSELHADAS,25d14e36-b147-4c36-8cb9-eb7742b43c00,00917cbf-66b1-499c-88d1-bd4469f3ec08,4f451b2b-7f74-4b04-832f-c7b3a352f83e,80ccea6e-87cb-4947-bb11-5a79e916a213,31168b16-07db-4442-a68e-c8c70d1928cb
TELEFÔNICO,CASA DA VÍTIMA E DO AGRESSOR,NÃO,TERCEIRO,BRASIL,MS,DIARIAMENTE,HÁ UM MÊS,1.0,NÃO INFORMADO,a896aa8a-43d9-436c-a813-6a799df3dc48,00917cbf-66b1-499c-88d1-bd4469f3ec08,4f451b2b-7f74-4b04-832f-c7b3a352f83e,28381603-d553-4bd5-83fa-4ebda900a801,5f11b25c-4f19-4c2d-b578-96384ed33f9d
TELEFÔNICO,CASA DA VÍTIMA,NÃO,A PRÓPRIA VÍTIMA,BRASIL,MG,OCASIONALMENTE,HÁ UM MÊS,1.0,EM RAZÃO DO SEXO BIOLÓGICO,6b47467b-ef9e-4bb7-a56f-381ca07e345b,00917cbf-66b1-499c-88d1-bd4469f3ec08,4f451b2b-7f74-4b04-832f-c7b3a352f83e,8e5b1605-6926-4e19-b3fa-5ea6cc8275b9,c4b31f84-7ecb-437d-a53f-a375a281db1f
TELEFÔNICO,CASA DA VÍTIMA,NÃO,ANÔNIMO,BRASIL,GO,DIARIAMENTE,HÁ UM MÊS,1.0,EM RAZÃO DA IDADE,f5d86378-52f8-4cb7-9e1a-daf17edc6cc8,00917cbf-66b1-499c-88d1-bd4469f3ec08,4f451b2b-7f74-4b04-832f-c7b3a352f83e,63688554-5d7d-4696-88fc-68a3b675238b,72e64a08-042c-4b11-adb6-72c87fdbdac9
TELEFÔNICO,ESTABELECIMENTO DE SAÚDE,NÃO,TERCEIRO,BRASIL,PI,OCASIONALMENTE,HÁ UM MÊS,2.0,NÃO INFORMADO,879733a5-90f6-4c3d-8481-8891555909be,00917cbf-66b1-499c-88d1-bd4469f3ec08,6d7250c1-a426-4978-8864-3877f0f94893,85abf3d4-3194-4b72-b4f4-731ee2a9c237,1a3b1c59-a661-4ee4-9750-3aceb6414ff0
TELEFÔNICO,CASA DA VÍTIMA,NÃO,TERCEIRO,BRASIL,SE,DIARIAMENTE,HÁ UM MÊS,2.0,NÃO INFORMADO,c5579344-3aa9-48ab-bc84-ad0de65b402a,00917cbf-66b1-499c-88d1-bd4469f3ec08,e4d3855f-dbd7-414d-9031-8dd3e7a112e1,efc7f1a1-ed60-4ae5-82fd-ecec13fffeb9,55757055-e45d-4dcc-ab1d-e260c4f00d16
TELEFÔNICO,CASA DA VÍTIMA E DO AGRESSOR,NÃO,TERCEIRO,BRASIL,SP,DIARIAMENTE,HÁ UM MÊS,1.0,NA RELAÇÃO FAMILIAR,dc1f7e4f-53d1-4ca3-8fbc-6fd66360d127,00917cbf-66b1-499c-88d1-bd4469f3ec08,4f451b2b-7f74-4b04-832f-c7b3a352f83e,451f391c-3318-4e24-8424-e31cea0c1e37,e08c2d6a-954d-4b69-92e9-d3070aea6290
TELEFÔNICO,CASA DA VÍTIMA E DO AGRESSOR,NÃO,TERCEIRO,BRASIL,MA,DIARIAMENTE,HÁ UM MÊS,2.0,EM RAZÃO DA IDADE,57b8b850-35a0-4b70-ab1c-52c8033559b8,00917cbf-66b1-499c-88d1-bd4469f3ec08,4f451b2b-7f74-4b04-832f-c7b3a352f83e,fda02186-f895-4f25-8208-6b83df959440,69c08830-0bcc-4bc2-8b77-568d9171c001
TELEFÔNICO,CASA DA VÍTIMA E DO AGRESSOR,NÃO,TERCEIRO,BRASIL,MG,DIARIAMENTE,HÁ UM MÊS,1.0,EM RAZÃO DA IDADE,1548f78b-6e7a-4ff8-9b30-cac3ac0b3dbb,00917cbf-66b1-499c-88d1-bd4469f3ec08,4f451b2b-7f74-4b04-832f-c7b3a352f83e,b86bc5b4-ee91-401e-a733-d83005282d97,1a3b1c59-a661-4ee4-9750-3aceb6414ff0
TELEFÔNICO,CASA DA VÍTIMA,NÃO,TERCEIRO,BRASIL,SP,DIARIAMENTE,HÁ UM MÊS,1,NÃO INFORMADO,a5d96dfd-17ae-4349-9934-0864164fde97,00aecc2a-ad7a-4705-a799-b22430466213,aa06b3d4-3a3b-4b0a-9cb7-5bfbe4004e92,19ca960d-46d7-4326-8e39-fbbf87f4fb57,5f11b25c-4f19-4c2d-b578-96384ed33f9d
TELEFÔNICO,CASA DA VÍTIMA,NÃO,TERCEIRO,BRASIL,PR,DIARIAMENTE,HÁ UM MÊS,1,AGRAVANTE.POR CONDUTAS EXCESSIVAS/DESNECESSÁRIAS/DESACONSELHADAS,f7cb6843-e78f-4aa7-8347-a2d1f40a2407,00aecc2a-ad7a-4705-a799-b22430466213,e4d3855f-dbd7-414d-9031-8dd3e7a112e1,b1586d48-8beb-4b38-a5d7-b35e930229b4,65945fec-8465-4aa4-a66e-e6b308e3ac7e
TELEFÔNICO,CASA DA VÍTIMA,NÃO,TERCEIRO,BRASIL,PR,DIARIAMENTE,HÁ UM MÊS,1,NÃO INFORMADO,2b6cc528-5596-4640-9550-4fc9c622b498,00aecc2a-ad7a-4705-a799-b22430466213,6d7250c1-a426-4978-8864-3877f0f94893,54ea0e25-4fcd-4526-ac03-00f917f3e007,7e1b0b67-4a94-4ae5-986d-cdbdd4587248
TELEFÔNICO,CASA DO AGRESSOR,NÃO,A PRÓPRIA VÍTIMA,BRASIL,RJ,DIARIAMENTE,HÁ UM MÊS,1,NÃO INFORMADO,d1c0fb87-18b8-489e-a05e-a1e85cb62a9c,00aecc2a-ad7a-4705-a799-b22430466213,aa06b3d4-3a3b-4b0a-9cb7-5bfbe4004e92,58a9f771-0373-4279-a796-eb6c7ee8a1a7,65945fec-8465-4aa4-a66e-e6b308e3ac7e
TELEFÔNICO,AMBIENTE VIRTUAL,NÃO,A PRÓPRIA VÍTIMA,BRASIL,RN,OCASIONALMENTE,HÁ UM MÊS,1,AGRAVANTE.DA COABITAÇÃO/CONVIVÊNCIA FAMILIAR/RELAÇÃO AFETIVA,ab7d6161-6bc0-4628-ab5a-60884a7e087f,00aecc2a-ad7a-4705-a799-b22430466213,b0aad308-0415-41e0-839f-b8b8be0d52d2,b167ae25-c88e-43b3-995d-341b975aa582,151c0791-2fac-4004-adca-62584213a14f
TELEFÔNICO,CASA DA VÍTIMA E DO AGRESSOR,NÃO,A PRÓPRIA VÍTIMA,BRASIL,SP,DIARIAMENTE,HÁ UM MÊS,1,"AGRAVANTE.POR MOTIVO VIL, TORPE, INSIDIOSO, CRUEL, À TRAIÇÃO, OU POR DINHEIRO",9ed6beac-dbe3-45e7-a00a-eca43d0359f8,00aecc2a-ad7a-4705-a799-b22430466213,e4d3855f-dbd7-414d-9031-8dd3e7a112e1,e5d650df-4b42-4ee9-9a04-eca9bf3af8f7,15ab101c-0b27-4f3e-a13e-ad9507838f6c
TELEFÔNICO,CASA DA VÍTIMA,NÃO,TERCEIRO,BRASIL,RJ,DIARIAMENTE,HÁ UM MÊS,1,MOTIVAÇÃO.EM RAZÃO DA IDADE,527f20d8-0813-486d-b314-ade6b8a0c039,00aecc2a-ad7a-4705-a799-b22430466213,6d7250c1-a426-4978-8864-3877f0f94893,e76b3b09-a999-414e-a1b6-a8541e053c70,31168b16-07db-4442-a68e-c8c70d1928cb
TELEFÔNICO,CASA DO AGRESSOR,NÃO,TERCEIRO,BRASIL,SP,DIARIAMENTE,HÁ UM MÊS,1,MOTIVAÇÃO.EM RAZÃO DA IDADE,16fb65ae-f669-41ae-9e04-3d921597b69c,00aecc2a-ad7a-4705-a799-b22430466213,4f451b2b-7f74-4b04-832f-c7b3a352f83e,2dbb2bf0-c6ce-481d-9241-2edbf30bfabc,8698d4bf-aeb7-439c-a773-dc938741e711
TELEFÔNICO,CASA DO AGRESSOR,NÃO,TERCEIRO,BRASIL,BA,DIARIAMENTE,HÁ UM MÊS,1,AGRAVANTE.POR CONDUTAS EXCESSIVAS/DESNECESSÁRIAS/DESACONSELHADAS,3302332f-8139-4cd3-aee3-700c2a5b0d7c,00aecc2a-ad7a-4705-a799-b22430466213,4f451b2b-7f74-4b04-832f-c7b3a352f83e,18a7eaaf-72af-4243-9f92-b206b1ebf261,b1234853-6ead-44e0-8883-ce17f2955409
TELEFÔNICO,CASA DA VÍTIMA E DO AGRESSOR,NÃO,TERCEIRO,BRASIL,SP,DIARIAMENTE,HÁ UM MÊS,1,MOTIVAÇÃO.EM RAZÃO DE CONFLITO DE IDEIAS,ab63061d-f103-4c9f-ace0-67dab3ffe23a,00aecc2a-ad7a-4705-a799-b22430466213,88e80bf3-3038-4ade-942f-1fdfd8730ded,a1732477-3de3-45ba-83c1-dc85642a18d5,72e64a08-042c-4b11-adb6-72c87fdbdac9
TELEFÔNICO,CASA DA VÍTIMA E DO AGRESSOR,NÃO,TERCEIRO,BRASIL,MG,DIARIAMENTE,HÁ UM MÊS,1,AGRAVANTE.NA RELAÇÃO FAMILIAR,bd065fbc-dca5-4db3-994a-f55602ea390a,00aecc2a-ad7a-4705-a799-b22430466213,6d7250c1-a426-4978-8864-3877f0f94893,6615692a-0e5a-45e5-85ca-73c81ae0c10d,48f7bde8-bb5e-4a70-badb-2dc98831e88f
WHATSAPP,CASA DA VÍTIMA E DO AGRESSOR,NÃO,ANÔNIMO,BRASIL,SP,DIARIAMENTE,HÁ UM MÊS,2.0,NÃO INFORMADO,0bcd0fcb-be7d-4f65-a168-86507d239596,01d991ad-a8f0-4086-b918-b6bd2c9932d6,4f451b2b-7f74-4b04-832f-c7b3a352f83e,8abd0fb2-6991-4f20-b09f-7af880521605,65945fec-8465-4aa4-a66e-e6b308e3ac7e
TELEFÔNICO,CASA DA VÍTIMA E DO AGRESSOR,NÃO,ANÔNIMO,BRASIL,SP,DIARIAMENTE,HÁ UM MÊS,1.0,NÃO INFORMADO,60922592-60bb-4326-92c5-bc8529789b14,01d991ad-a8f0-4086-b918-b6bd2c9932d6,aa06b3d4-3a3b-4b0a-9cb7-5bfbe4004e92,818b0555-5bf7-451d-b30e-442048e28bca,69c08830-0bcc-4bc2-8b77-568d9171c001
WHATSAPP,CASA DA VÍTIMA E DO AGRESSOR,NÃO,A PRÓPRIA VÍTIMA,BRASIL,SP,OCASIONALMENTE,HÁ UM MÊS,1.0,NÃO INFORMADO,8b13ef0f-c82e-4c33-8a41-a69e033f1821,01d991ad-a8f0-4086-b918-b6bd2c9932d6,aa06b3d4-3a3b-4b0a-9cb7-5bfbe4004e92,04412a83-0993-4275-ac36-f61cb21bfd87,72e64a08-042c-4b11-adb6-72c87fdbdac9
TELEFÔNICO,CASA DA VÍTIMA,NÃO,A PRÓPRIA VÍTIMA,BRASIL,RJ,DIARIAMENTE,HÁ UM MÊS,1.0,NÃO INFORMADO,dad11d53-d15a-47dd-bd4f-db70f9f802c0,01d991ad-a8f0-4086-b918-b6bd2c9932d6,6d7250c1-a426-4978-8864-3877f0f94893,1184cfac-3969-4a5e-bd86-368ff91ec0e6,18bad44c-325f-4a72-929c-c6184ba35d01
TELEFÔNICO,AMBIENTE VIRTUAL,NÃO,A PRÓPRIA VÍTIMA,BRASIL,MG,OCASIONALMENTE,HÁ UM MÊS,1.0,EM PÚBLICO OU POR MEIO QUE FACILITE A DIVULGAÇÃO/ NO ÂMBITO DA INTERNET,2d2de1dc-ebf4-4b82-b5b5-2fb884bbb855,020c52d6-bdc9-4144-b57b-933e5547c731,aa06b3d4-3a3b-4b0a-9cb7-5bfbe4004e92,4b2faa6c-cf7b-445a-ae19-c9b745881e3e,3dba5b13-225b-44fb-93d3-00b029a0b642
TELEFÔNICO,CASA DA VÍTIMA E DO AGRESSOR,NÃO,ANÔNIMO,BRASIL,CE,DIARIAMENTE,HÁ UM MÊS,1.0,NA RELAÇÃO FAMILIAR,67e4a0ce-0b8a-412d-b31e-90fdb56c9af5,0234cbb0-3916-4786-b4b1-bc76313a3a92,aa06b3d4-3a3b-4b0a-9cb7-5bfbe4004e92,d6366b66-936e-4e13-8a69-87797e04c491,15e8c8dc-791f-44b4-a188-86230f09ba4e
WHATSAPP,CASA DA VÍTIMA E DO AGRESSOR,NÃO,TERCEIRO,BRASIL,SP,DIARIAMENTE,HÁ UM MÊS,1.0,NÃO INFORMADO,f3ea7d5d-023e-4ab4-a826-8305f46b18b6,0234cbb0-3916-4786-b4b1-bc76313a3a92,4f451b2b-7f74-4b04-832f-c7b3a352f83e,52252805-33ea-4836-9f1b-812463d020a6,50645246-fe5d-49bd-b4fc-7f55666c191d
TELEFÔNICO,CASA DE TERCEIRO,NÃO,A PRÓPRIA VÍTIMA,BÉLGICA,N/D,DIARIAMENTE,HÁ UM MÊS,1.0,POR CONDUTAS EXCESSIVAS/ DESNECESSÁRIAS/ DESACONSELHADAS,0ffa533c-1d2e-484b-a54e-858c89f03f63,0234cbb0-3916-4786-b4b1-bc76313a3a92,aa06b3d4-3a3b-4b0a-9cb7-5bfbe4004e92,67934c4c-0df0-4188-85d3-c80636805088,d71f03ad-3e85-4e2e-bda8-265c9bd750b8
TELEFÔNICO,CASA DO AGRESSOR,NÃO,TERCEIRO,BRASIL,SP,OCASIONALMENTE,HÁ UM MÊS,1.0,DA COABITAÇÃO/ CONVIVÊNCIA FAMILIAR/ RELAÇÃO AFETIVA,f49ca55f-f5d9-4663-ad23-874d5377f990,0234cbb0-3916-4786-b4b1-bc76313a3a92,4f451b2b-7f74-4b04-832f-c7b3a352f83e,03cd5be5-6f68-47e8-9277-6e831d1bb692,c4b31f84-7ecb-437d-a53f-a375a281db1f
TELEFÔNICO,CASA DA VÍTIMA E DO AGRESSOR,NÃO,A PRÓPRIA VÍTIMA,BRASIL,BA,OCASIONALMENTE,HÁ UM MÊS,1.0,NÃO INFORMADO,f0d44f75-5493-4a5d-bdb6-4d65738eb838,0234cbb0-3916-4786-b4b1-bc76313a3a92,aa06b3d4-3a3b-4b0a-9cb7-5bfbe4004e92,1252ad0f-44eb-4095-bace-06623fd17486,b1234853-6ead-44e0-8883-ce17f2955409
TELEFÔNICO,SERVIÇO DE ABRIGAMENTO,NÃO,TERCEIRO,BRASIL,MT,DIARIAMENTE,HÁ UM MÊS,2.0,NÃO INFORMADO,3d61d562-b1a2-46d8-9ea0-c57b526e3a52,0234cbb0-3916-4786-b4b1-bc76313a3a92,4f451b2b-7f74-4b04-832f-c7b3a352f83e,5c9b62d2-2a56-4e50-ba90-03b06b2a5386,72e64a08-042c-4b11-adb6-72c87fdbdac9
WHATSAPP,CASA DA VÍTIMA E DO AGRESSOR,NÃO,TERCEIRO,BRASIL,SP,DIARIAMENTE,HÁ UM MÊS,1.0,EM RAZÃO DA IDADE,504005e7-9603-491e-8e2a-dbd42824ecd4,0234cbb0-3916-4786-b4b1-bc76313a3a92,4f451b2b-7f74-4b04-832f-c7b3a352f83e,ca953115-d8f4-466f-8085-75c654da369a,c4b31f84-7ecb-437d-a53f-a375a281db1f
TELEFÔNICO,CASA DA VÍTIMA E DO AGRESSOR,NÃO,TERCEIRO,BRASIL,CE,SEMANALMENTE,HÁ UM MÊS,2.0,FOI PRATICADO POR DUAS OU MAIS PESSOAS,c4b764c1-a19c-4d24-8e0c-0028a6684662,0234cbb0-3916-4786-b4b1-bc76313a3a92,e4d3855f-dbd7-414d-9031-8dd3e7a112e1,04399aa7-b1e0-4c49-86cc-df4d4eecf3bb,e08c2d6a-954d-4b69-92e9-d3070aea6290
TELEFÔNICO,CASA DA VÍTIMA E DO AGRESSOR,NÃO,TERCEIRO,BRASIL,PE,DIARIAMENTE,HÁ UM MÊS,1.0,POR CONDUTAS EXCESSIVAS/ DESNECESSÁRIAS/ DESACONSELHADAS,8d1b202f-56fe-475b-a573-c8626210e93e,0234cbb0-3916-4786-b4b1-bc76313a3a92,4f451b2b-7f74-4b04-832f-c7b3a352f83e,a98e1dfd-5aa7-4c6f-8c40-5815f9c629d6,915725c8-f48d-484f-9eec-3a5539e67134
TELEFÔNICO,CASA DA VÍTIMA E DO AGRESSOR,NÃO,ANÔNIMO,BRASIL,PB,DIARIAMENTE,HÁ UM MÊS,1.0,NA RELAÇÃO FAMILIAR,67be8dec-be42-4d6e-9fc2-72630386b786,024715e3-38b3-498f-ab37-3758b0e5105c,aa06b3d4-3a3b-4b0a-9cb7-5bfbe4004e92,baa0fbc7-9ed8-4bdd-840d-8beeffdc4c3a,e08c2d6a-954d-4b69-92e9-d3070aea6290
TELEFÔNICO,CASA DA VÍTIMA E DO AGRESSOR,NÃO,TERCEIRO,BRASIL,RN,DIARIAMENTE,HÁ UM MÊS,1.0,PARA FINS DE EXPLORAÇÃO DO TRABALHO.DOMÉSTICO,e841f102-984e-4cd1-a7a5-79d8e5e7c95c,024715e3-38b3-498f-ab37-3758b0e5105c,4f451b2b-7f74-4b04-832f-c7b3a352f83e,00b34989-ae8e-4131-ac37-1648883f317c,1a3b1c59-a661-4ee4-9750-3aceb6414ff0
